"","Net Sales/Income from operations","Other Operating Income","Total Income From Operations","EXPENDITURE","Consumption of Raw Materials","Purchase of Traded Goods","Increase/Decrease in Stocks","Power & Fuel","Employees Cost","Depreciation","Excise Duty","Admin. And Selling Expenses","R & D Expenses","Provisions And Contingencies","Exp. Capitalised","Other Expenses","P/L Before Other Inc. , Int., Excpt. Items & Tax","Other Income","P/L Before Int., Excpt. Items & Tax","Interest","P/L Before Exceptional Items & Tax","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 19","1594.28",,"1594.28",,,,,,"71.36","126.15",,,,,,"335.11","1061.66","572.35","1634.01","491.36","1142.65","-121.90","1020.75","346.27","674.48",,,"674.48","414.19",,,,"3.26","3.26",,"3.26","3.26",,,,,,,,,,,,
"Dec 18","1457.60",,"1457.60",,,,,,"51.26","111.49",,,,,,"59.80","1235.05","465.78","1700.83","457.59","1243.24",,"1243.24","326.92","916.32",,,"916.32","414.19",,,,"4.42","4.42",,"4.42","4.42",,,,,,,,,,,,
"Sep 18","1203.27",,"1203.27",,,,,,"56.16","121.88",,,,,,"783.14","242.09","852.45","1094.54","250.17","844.37",,"844.37","156.81","687.56",,,"687.56","414.19",,,,"3.32","3.32",,"3.32","3.32",,,,,,,,,,,,
"Jun 18","1081.23",,"1081.23",,,,,,"52.11","114.69",,,,,,"588.75","325.68","452.32","778.00","222.72","555.28",,"555.28","195.92","359.36",,,"359.36","414.19",,,,"1.74","1.74",,"1.74","1.74",,,,,,,,,,,,
"Mar 18","1944.35",,"1944.35",,,,,,"48.39","116.55",,,,,,"850.83","928.58","478.36","1406.94","390.87","1016.07",,"1016.07","315.48","700.59",,,"700.59","414.19",,,,"3.38","3.38",,"3.38","3.38",,,,,,,,,,,,
"Dec 17","1417.28",,"1417.28",,,,,,"46.67","113.88",,,,,,"109.91","1146.82","407.59","1554.41","314.54","1239.87","-297.38","942.49","416.50","525.99",,,"525.99","414.19",,,,"2.54","2.54",,"2.54","2.54",,,,,,,,,,,,
"Sep 17","1526.74",,"1526.74",,,,,,"42.87","120.84",,,,,,"323.59","1039.44","380.50","1419.94","367.47","1052.47",,"1052.47","370.62","681.85",,,"681.85","414.19",,,,"3.29","3.29",,"3.29","3.29",,,,,,,,,,,,
"Jun 17","1805.77",,"1805.77",,,,,,"55.85","126.43",,,,,,"622.72","1000.77","340.87","1341.64","384.00","957.64",,"957.64","366.93","590.71",,,"590.71","414.19",,,,"2.85","2.85",,"2.85","2.85",,,,,,,,,,,,
"Mar 17","1234.85",,"1234.85",,,,,,"50.09","136.20",,,,,,"98.73","949.83","395.88","1345.71","416.39","929.32",,"929.32","91.83","837.49",,,"837.49","414.19",,,,"4.04","4.04",,"4.04","4.04",,,,,,,,,,,,
"Dec 16","1309.83","14.67","1324.50",,,,,,"55.22","135.86",,,,,,"343.44","789.98","283.36","1073.34","264.66","808.68","-64.34","744.34",,"744.34",,,"744.34","414.19",,,,"3.59","3.59",,"3.59","3.59",,,,,,,,,,,,
"Sep 16","1277.92","23.95","1301.87",,,,,,"56.65","133.31",,,,,,"254.91","857.00","295.91","1152.91","217.65","935.26",,"935.26","18.59","916.67",,,"916.67","414.19",,,,"4.43","4.43",,"4.43","4.43",,,,,,,,,,,,
"Jun 16","1020.81","34.35","1055.16",,,,,,"49.03","135.34",,,,,,"284.89","585.90","272.00","857.90","238.22","619.68",,"619.68","16.84","602.84",,,"602.84","414.19",,,,"2.91","2.91",,"2.91","2.91",,,,,,,,,,,,
"Mar 16","942.35",,"942.35",,,,,,"46.03","118.85",,,,,,"279.16","498.31","382.68","880.99","152.16","728.83",,"728.83","75.51","653.32",,,"653.32","414.19",,,,"3.15","3.15",,"3.15","3.15",,,,,,,,,,,,
"Dec 15","1027.38","32.93","1060.31",,,,,,"43.04","143.56",,,,,,"279.82","593.89","282.81","876.70","212.58","664.12",,"664.12","27.98","636.14",,,"636.14","414.19",,,,"3.07","3.07",,"3.07","3.07",,,,,,,,,,,,
"Sep 15","1539.07","20.60","1559.67",,,,,,"50.53","132.03",,,,,,"300.48","1076.63","263.02","1339.65","259.85","1079.80",,"1079.80","20.29","1059.51",,,"1059.51","414.19",,,,"5.12","5.12",,"5.12","5.12",,,,,,,,,,,,
"Jun 15","1048.16","16.94","1065.10",,,,,,"39.32","124.88",,,,,,"273.52","627.38","236.00","863.38","229.86","633.52",,"633.52","17.61","615.91",,,"615.91","414.19",,,,"2.97","2.97",,"2.97","2.97",,"90.58","43.74",,,"34.99","30.03","16.90",,"81.53","69.97","39.36"
"Mar 15","933.62","26.66","960.28",,,,,,"39.03","120.10",,,,,,"280.41","520.74","177.38","698.12","183.59","514.53",,"514.53","-39.94","554.47",,,"554.47","414.01",,,,"2.68","2.68",,"2.68","2.68",,"51.75","25.00",,,"12.13","7.81","5.86",,"143.12","92.19","69.14"
