"","Mar 19","Dec 18","Sep 18","Jun 18","Mar 18","Dec 17","Sep 17","Jun 17","Mar 17","Dec 16","Sep 16","Jun 16","Mar 16","Dec 15","Sep 15","Jun 15","Mar 15","Dec 14","Sep 14","Jun 14","Mar 14","Dec 13","Sep 13","Jun 13","Mar 13","Dec 12","Sep 12","Jun 12","Mar 12","Dec 11","Sep 11","Jun 11","Mar 11","Dec 10","Sep 10","Jun 10","Mar 10","Dec 09","Sep 09","Jun 09","Mar 09","Dec 08","Sep 08","Jun 08","Mar 08","Dec 07","Sep 07","Jun 07","Mar 07","Dec 06","Sep 06","Jun 06","Mar 06","Dec 05","Sep 05","Jun 05","Mar 05","Dec 04","Sep 04","Jun 04","Mar 04","Dec 03","Sep 03","Jun 03","Mar 03","Dec 02","Sep 02","Jun 02","Mar 02","Dec 01","Sep 01","Jun 01","Mar 01","Dec 00","Sep 00","Jun 00","Mar 00","Dec 99","Sep 99","Jun 99","Mar 99","Dec 98","Sep 98","Jun 98","Mar 98","Dec 97","Sep 97","Jun 97"
"Net Sales/Income from operations","4235.32","4536.05","3914.17","3706.24","3775.35","3587.43","3602.20","3202.88","3320.28","3190.28","3054.14","2937.16","3034.56","3165.63","3179.59","3051.38","2846.20","2979.10","2953.50","2706.86","2686.60","2807.66","2504.89","2300.80","2216.90","2523.91","2134.44","2045.88","2067.28","2109.52","1843.56","1917.45","1607.39","1754.22","1469.49","1491.14","1296.09","1277.71","1386.46","1164.82","1100.07","1006.40","1168.34","995.24","868.51","916.24","891.20","740.21","727.03","705.97","784.90","603.40","564.48","640.63","602.47","510.59","442.49","595.95","534.41","415.21","416.87","451.07","494.23","378.86","358.74","444.46","425.78","344.82","336.96","378.80","342.15","277.26","288.21","313.64","348.09","281.22","262.98","372.73","346.14","228.72","224.17","206.66","257.35","206.56","195.98","201.38","223.27","181.82"
"Other Operating Income",,,,,,,,,,"50.80","47.87","46.58",,"52.88","44.56","41.82","40.77","46.31","42.21","33.87","37.44","35.35","27.14","18.88","15.61","13.06","11.93","9.97","8.52",,,"9.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Income From Operations","4235.32","4536.05","3914.17","3706.24","3775.35","3587.43","3602.20","3202.88","3320.28","3241.08","3102.01","2983.74","3034.56","3218.51","3224.15","3093.20","2886.97","3025.41","2995.71","2740.73","2724.04","2843.01","2532.03","2319.68","2232.51","2536.97","2146.37","2055.85","2075.80","2109.52","1843.56","1926.48","1607.39","1754.22","1469.49","1491.14","1296.09","1277.71","1386.46","1164.82","1100.07","1006.40","1168.34","995.24","868.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EXPENDITURE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consumption of Raw Materials","2244.32","2204.19","2182.94","2016.37","1952.97","1736.58","1637.61","1773.00","1795.12","1544.89","1802.57","1594.87","1369.17","1503.35","1583.28","1410.14","1442.59","1497.34","1827.56","1424.23","1554.92","1525.11","1487.94","1190.74","1279.97","1265.49","1266.90","1313.12","1204.32","1148.41","1179.10","1190.24","974.24","853.40","977.32","876.57","719.24","704.06","772.56","659.39","544.35","638.31","794.12","571.64","501.96","471.04","518.87","464.95","445.16","405.84","455.61","406.13","326.99","303.87","412.94","307.43","291.64","353.62","317.95","268.94","228.11","214.62","310.58","240.17","207.83","199.37","267.32","203.39","153.63","179.84","188.57","172.34","155.11","173.37","201.58",,,,,,,,,,,,,
"Purchase of Traded Goods","271.70","297.96","229.50","211.50","215.81","176.76","173.35","176.65","156.75","191.95","135.44","162.39","137.51","137.34","134.90","114.67","90.55","76.27","101.16","112.58","72.03","63.20","57.01","64.34","51.79","44.12","45.36","40.76","27.83","25.94","33.41","33.23","23.20","23.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Increase/Decrease in Stocks","-103.23","126.28","-95.55","-175.36","-80.33","112.83","269.95","-148.33","-108.44","64.68","-252.14","-219.68","129.60","155.70","-118.95","28.16","26.88","96.06","-274.79","19.42","-55.66","77.83","-137.27","39.76","-73.78","172.79","-43.42","-191.76","1.89","78.95","-121.32","-73.92","-50.96","167.46","-194.05","-62.67","-16.54","-11.95","-25.94","-52.73","106.17","-17.94","-111.34","5.54","-20.81","44.20","-21.48","-40.54","-8.58","15.95","6.85","-66.23","-0.99","80.25","-75.45","-4.29","-41.33","9.41","-0.86","-37.43","14.54","43.33","-33.95","-27.43","-14.81","53.53","-44.96","-24.14","19.85","46.02","1.97","-11.93","4.88","15.12","3.63",,,,,,,,,,,,,
"Power & Fuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employees Cost","243.62","227.97","215.47","215.73","193.30","189.74","202.03","206.01","181.14","180.01","192.69","188.99","180.29","162.11","162.25","162.18","145.52","153.94","156.92","150.55","102.48","125.39","119.27","135.29","104.85","97.57","97.80","104.37","85.33","83.22","84.95","88.13","72.45","73.77","71.66","82.57","67.06","63.22","61.51","69.05","62.15","59.76","61.28","55.71","50.08","49.41","49.01","46.18","39.90","37.97","41.47","35.62","29.92","31.64","34.33","33.09","32.09","28.78","28.31","28.76","21.68","25.52","27.65","26.71","28.42","24.97","26.04","26.56","24.91","22.46","22.13","22.54","18.77","18.27","18.57",,,,,,,,,,,,,
"Depreciation","117.23","103.23","82.76","78.96","80.07","78.14","77.15","75.75","73.78","74.56","73.07","74.02","61.33","59.14","57.41","56.63","55.51","56.52","56.38","54.70","53.83","53.99","51.52","52.99","40.12","30.08","29.43","27.35","25.51","24.89","24.95","24.14","24.01","23.79","24.14","22.54","15.75","14.83","15.20","14.96","15.34","15.78","14.43","11.60","11.40","11.19","10.75","10.43","11.75","11.24","11.45","10.97","12.01","11.17","11.29","11.06","11.21","12.21","12.18","12.01","11.97","12.13","11.68","11.47","11.21","11.03","11.44","11.44","15.25","8.91","8.29","9.34","7.51","8.31","7.81","7.95","6.74","7.52","6.78","6.80","4.69","6.00","6.00","6.00","6.09","3.65","3.71","3.54"
"Excise Duty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Admin. And Selling Expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R & D Expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provisions And Contingencies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Exp. Capitalised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
