"","Net Sales/Income from operations","Other Operating Income","Total Income From Operations","EXPENDITURE","Consumption of Raw Materials","Purchase of Traded Goods","Increase/Decrease in Stocks","Power & Fuel","Employees Cost","Depreciation","Excise Duty","Admin. And Selling Expenses","R & D Expenses","Provisions And Contingencies","Exp. Capitalised","Other Expenses","P/L Before Other Inc. , Int., Excpt. Items & Tax","Other Income","P/L Before Int., Excpt. Items & Tax","Interest","P/L Before Exceptional Items & Tax","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 19","4235.32",,"4235.32",,"2244.32","271.70","-103.23",,"243.62","117.23",,,,,,"808.88","652.80","71.97","724.77","9.92","714.85",,"714.85","235.17","479.68",,,"479.68","95.92",,,,"5.00","5.00",,"5.00","5.00",,,,,,,,,,,,
"Dec 18","4536.05",,"4536.05",,"2204.19","297.96","126.28",,"227.97","103.23",,,,,,"693.85","882.57","66.32","948.89","8.70","940.19",,"940.19","309.23","630.96",,,"630.96","95.92",,,,"6.58","6.58",,"6.58","6.58",,,,,,,,,,,,
"Sep 18","3914.17",,"3914.17",,"2182.94","229.50","-95.55",,"215.47","82.76",,,,,,"654.52","644.53","71.66","716.19","6.63","709.56",,"709.56","228.07","481.49",,,"481.49","95.92",,,,"5.02","5.02",,"5.02","5.02",,,,,,,,,,,,
"Jun 18","3706.24",,"3706.24",,"2016.37","211.50","-175.36",,"215.73","78.96",,,,,,"613.17","745.87","68.86","814.73","4.76","809.97",,"809.97","267.34","542.63",,,"542.63","95.92",,,,"5.66","5.66",,"5.66","5.66",,,,,,,,,,,,
"Mar 18","3775.35",,"3775.35",,"1952.97","215.81","-80.33",,"193.30","80.07",,,,,,"708.24","705.29","59.16","764.45","6.60","757.85",,"757.85","266.28","491.57",,,"491.57","95.92",,,,"5.12","5.12",,"5.12","5.12",,,,,,,,,,,,
"Dec 17","3587.43",,"3587.43",,"1736.58","176.76","112.83",,"189.74","78.14",,,,,,"553.42","739.96","68.36","808.32","5.20","803.12",,"803.12","274.15","528.97",,,"528.97","95.92",,,,"5.51","5.51",,"5.51","5.51",,,,,,,,,,,,
"Sep 17","3602.20",,"3602.20",,"1637.61","173.35","269.95",,"202.03","77.15",,,,,,"599.17","642.94","63.84","706.78","4.97","701.81",,"701.81","228.36","473.45",,,"473.45","95.92",,,,"4.94","4.94",,"4.94","4.94",,,,,,,,,,,,
"Jun 17","3202.88",,"3202.88",,"1773.00","176.65","-148.33",,"206.01","75.75",,,,,,"598.47","521.33","86.14","607.47","4.29","603.18",,"603.18","202.23","400.95",,,"400.95","95.92",,,,"4.18","4.18",,"4.18","4.18",,,,,,,,,,,,
"Mar 17","3320.28",,"3320.28",,"1795.12","156.75","-108.44",,"181.14","73.78",,,,,,"656.58","565.35","84.99","650.34","5.69","644.65",,"644.65","203.83","440.82",,,"440.82","95.92",,,,"4.60","4.60",,"4.60","4.60",,,,,,,,,,,,
"Dec 16","3190.28","50.80","3241.08",,"1544.89","191.95","64.68",,"180.01","74.56",,,,,,"588.62","596.37","52.37","648.74","4.59","644.15",,"644.15","218.32","425.83",,,"425.83","95.92",,,,"4.44","4.44",,"4.44","4.44",,,,,,,,,,,,
"Sep 16","3054.14","47.87","3102.01",,"1802.57","135.44","-252.14",,"192.69","73.07",,,,,,"592.20","558.18","84.77","642.95","4.40","638.55",,"638.55","203.28","435.27",,,"435.27","95.92",,,,"4.54","4.54",,"4.54","4.54",,,,,,,,,,,,
"Jun 16","2937.16","46.58","2983.74",,"1594.87","162.39","-219.68",,"188.99","74.02",,,,,,"527.04","656.11","78.77","734.88","4.18","730.70",,"730.70","229.52","501.18",,,"501.18","95.92",,,,"5.23","5.23",,"5.23","5.23",,,,,,,,,,,,
"Mar 16","3034.56",,"3034.56",,"1369.17","137.51","129.60",,"180.29","61.33",,,,,,"599.99","556.67","60.47","617.14","10.30","606.84","-0.05","606.79","205.84","400.95",,,"400.95","95.92",,,,"4.18","4.18",,"4.18","4.18",,,,,,,,,,,,
"Dec 15","3165.63","52.88","3218.51",,"1503.35","137.34","155.70",,"162.11","59.14",,,,,,"546.85","654.02","55.58","709.60","5.79","703.81","-65.30","638.51","214.94","423.57",,,"423.57","95.92",,,,"4.42","4.42",,"4.42","4.42",,,,,,,,,,,,
"Sep 15","3179.59","44.56","3224.15",,"1583.28","134.90","-118.95",,"162.25","57.41",,,,,,"925.72","479.54","66.29","545.83","4.52","541.31",,"541.31","170.56","370.75",,,"370.75","95.92",,,,"3.87","3.87",,"3.87","3.87",,,,,,,,,,,,
"Jun 15","3051.38","41.82","3093.20",,"1410.14","114.67","28.16",,"162.18","56.63",,,,,,"769.23","552.19","67.09","619.28","2.79","616.49",,"616.49","188.95","427.54",,,"427.54","95.92",,,,"4.46","4.46",,"4.46","4.46",,"45.28","47.21",,,"6.80","13.44","7.09",,"43.83","86.56","45.70"
"Mar 15","2846.20","40.77","2886.97",,"1442.59","90.55","26.88",,"145.52","55.51",,,,,,"680.70","445.22","49.39","494.61","8.60","486.01","11.63","497.64","157.82","339.82",,,"339.82","95.92",,,,"3.54","3.54",,"3.54","3.54",,"45.28","47.21",,,"6.61","13.06","6.89",,"44.02","86.94","45.90"
"Dec 14","2979.10","46.31","3025.41",,"1497.34","76.27","96.06",,"153.94","56.52",,,,,,"661.38","483.90","36.76","520.66","7.84","512.82",,"512.82","159.75","353.07",,,"353.07","95.92",,,,"3.68","3.68",,"3.68","3.68",,"45.28","47.21",,,"6.98","13.78","7.28",,"43.66","86.22","45.51"
"Sep 14","2953.50","42.21","2995.71",,"1827.56","101.16","-274.79",,"156.92","56.38",,,,,,"703.79","424.69","50.50","475.19","6.44","468.75",,"468.75","143.08","325.67",,,"325.67","95.92",,,,"3.39","3.39",,"3.39","3.39",,"45.28","47.21",,,"7.86","15.52","8.19",,"42.78","84.48","44.60"
"Jun 14","2706.86","33.87","2740.73",,"1424.23","112.58","19.42",,"150.55","54.70",,,,,,"544.39","434.86","48.92","483.78","4.26","479.52","-25.16","454.36","145.52","308.84",,,"308.84","95.92",,,,"3.22","3.22",,"3.22","3.22",,"45.28","47.21",,,"10.13","20.01","10.57",,"40.50","79.99","42.22"
"Mar 14","2686.60","37.44","2724.04",,"1554.92","72.03","-55.66",,"102.48","53.83",,,,,,"626.34","370.10","39.03","409.13","8.78","400.35","-9.96","390.39","123.32","267.07",,,"267.07","95.92",,,,"2.78","2.78",,"2.78","2.78",,"45.28","47.21",,,"9.42","18.60","9.82",,"41.22","81.40","42.97"
"Dec 13","2807.66","35.35","2843.01",,"1525.11","63.20","77.83",,"125.39","53.99",,,,,,"573.76","423.73","34.71","458.44","6.39","452.05",,"452.05","144.58","307.47",,,"307.47","95.92",,,,"3.21","3.21",,"3.21","3.21",,"45.29","47.21",,,"8.39","16.58","8.75",,"42.24","83.42","44.04"
"Sep 13","2504.89","27.14","2532.03",,"1487.94","57.01","-137.27",,"119.27","51.52",,,,,,"548.68","404.88","47.83","452.71","6.15","446.56",,"446.56","135.96","310.60",,,"310.60","95.92",,,,"3.24","3.24",,"3.24","3.24",,"45.29","47.21",,,"8.40","16.60","8.76",,"42.23","83.40","44.03"
"Jun 13","2300.80","18.88","2319.68",,"1190.74","64.34","39.76",,"135.29","52.99",,,,,,"470.35","366.21","52.12","418.33","4.76","413.57",,"413.57","129.65","283.92",,,"283.92","95.92",,,,"29.60","29.60",,"29.60","29.60",,"4.53","47.21",,,"0.82","16.15","8.53",,"4.25","83.85","44.26"
"Mar 13","2216.90","15.61","2232.51",,"1279.97","51.79","-73.78",,"104.85","40.12",,,,,,"515.66","313.90","43.71","357.61","6.85","350.76",,"350.76","111.20","239.56",,,"239.56","95.92",,,,"24.98","24.98",,"24.98","24.98",,"4.53","47.21",,,"0.78","15.48","8.17",,"4.28","84.52","44.61"
"Dec 12","2523.91","13.06","2536.97",,"1265.49","44.12","172.79",,"97.57","30.08",,,,,,"505.77","421.15","34.12","455.27","5.97","449.30",,"449.30","137.27","312.03",,,"312.03","95.92",,,,"32.53","32.53",,"32.53","32.53",,"4.53","47.21",,,"0.89","17.67","9.33",,"4.17","82.33","43.46"
"Sep 12","2134.44","11.93","2146.37",,"1266.90","45.36","-43.42",,"97.80","29.43",,,,,,"442.40","307.90","23.10","331.00","9.97","321.03",,"321.03","97.21","223.82",,,"223.82","95.92",,,,"23.33","23.33",,"23.33","23.33",,"4.53","47.21",,,"0.96","18.87","9.96",,"4.11","81.13","42.83"
"Jun 12","2045.88","9.97","2055.85",,"1313.12","40.76","-191.76",,"104.37","27.35",,,,,,"384.67","377.34","25.22","402.56","7.77","394.79",,"394.79","120.20","274.59",,,"274.59","95.92",,,,"28.63","28.63",,"28.63","28.63",,"4.53","47.21",,,"0.95","18.77","9.91",,"4.11","81.23","42.88"
"Mar 12","2067.28","8.52","2075.80",,"1204.32","27.83","1.89",,"85.33","25.51",,,,,,"419.07","311.85","48.64","360.49","13.68","346.81",,"346.81","102.22","244.59",,,"244.59","95.92",,,,"25.50","25.50",,"25.50","25.50",,"4.53","47.21",,,"1.09","21.51","11.36",,"3.97","78.49","41.43"
